id;name;alignment;experience;party
1;real-time;CHAOTIC_GOOD;81503;Berkshire deposit
2;Chat-qui-Pêche systems;NEUTRAL_EVIL;83180;online utilize
3;c Architecte;NEUTRAL_NEUTRAL;89775;GB innovative Fully-configurable
4;HTTP;CHAOTIC_NEUTRAL;74280;bypassing redefine hack
5;asymmetric solid Executif;LAWFUL_EVIL;26334;evolve
6;hack hack Market;LAWFUL_NEUTRAL;99176;Poitou-Charentes
7;Configurable a;LAWFUL_EVIL;9121;b Sausages
8;copying;NEUTRAL_NEUTRAL;78267;Fresh
9;Avon blue;LAWFUL_GOOD;32268;Producteur lavender withdrawal
10;Streamlined;CHAOTIC_EVIL;20903;Compatible Account
